data;regiao;categoria;produto;quantidade;valor_unitario
2026-11-22;Norte;Licencas;Licenca Office;12;828.38
2026-09-25;Norte;Consultoria;Automacao de Processos;10;15027.09
2026-09-05;Sudeste;Treinamento;Treinamento Excel;6;3921.68
2026-05-23;Norte;Software;Plataforma BI Pro;8;6100.71
2026-06-22;Sul;Suporte;Suporte Basico;3;1323.85
2026-05-13;Sudeste;Licencas;Licenca Office;9;428.42
2026-02-13;Sudeste;Consultoria;Automacao de Processos;8;11105.23
2026-12-20;Sudeste;Consultoria;Automacao de Processos;8;14790.46
2026-05-31;Sudeste;Software;Modulo Fiscal;4;3833.37
2026-07-08;Sudeste;Treinamento;Treinamento Excel;7;4486.86
2026-06-19;Sudeste;Treinamento;Treinamento Excel;5;1795.83
2026-03-03;Nordeste;Consultoria;Automacao de Processos;2;14014.66
2026-04-09;Sudeste;Consultoria;Automacao de Processos;5;13731.07
2026-11-02;Sudeste;Treinamento;Treinamento Power BI;4;1755.36
2026-04-02;Sudeste;Licencas;Licenca Anual ERP;5;527.44
2026-10-11;Sudeste;Software;Plataforma BI Pro;11;8668.77
2026-02-22;Nordeste;Suporte;Suporte Basico;8;1305.3
2026-04-05;Norte;Licencas;Licenca Office;8;719.44
2026-07-25;Sudeste;Software;Modulo Fiscal;11;7103.48
2026-03-18;Nordeste;Consultoria;Automacao de Processos;2;17905.73
2026-10-13;Nordeste;Software;Modulo Fiscal;10;8000.37
2026-09-25;Sudeste;Consultoria;Automacao de Processos;5;15832.58
2026-06-06;Centro-Oeste;Suporte;Suporte Premium;10;2316.23
2026-04-17;Centro-Oeste;Software;Conector API;11;1898.21
2026-03-30;Centro-Oeste;Consultoria;Consultoria de Dados;1;8832.02
2026-08-29;Sudeste;Treinamento;Treinamento Power BI;5;3357.13
2026-02-06;Nordeste;Suporte;Suporte Basico;11;1538.56
2026-08-06;Sul;Consultoria;Consultoria de Dados;11;4809.34
2026-03-14;Sul;Licencas;Licenca Anual ERP;5;2066.12
2026-05-28;Sudeste;Treinamento;Treinamento Excel;12;1785.96
2026-05-20;Sudeste;Suporte;Suporte Basico;8;468.93
2026-08-10;Nordeste;Software;Modulo Fiscal;5;1422.44
2026-12-12;Nordeste;Consultoria;Consultoria de Dados;11;15232.03
2026-01-21;Nordeste;Treinamento;Treinamento Power BI;8;2623.96
2026-05-23;Sul;Suporte;Suporte Basico;11;2009.91
2026-08-29;Sudeste;Software;Conector API;6;6963.15
2026-06-18;Sudeste;Consultoria;Automacao de Processos;5;12770.04
2026-10-09;Sul;Suporte;Suporte Premium;6;830.04
2026-07-26;Nordeste;Software;Plataforma BI Pro;11;8676.56
2026-07-31;Sul;Suporte;Suporte Basico;10;1888.53
2026-01-27;Sudeste;Suporte;Suporte Premium;5;1220.04
2026-03-04;Sul;Suporte;Suporte Premium;12;632.59
2026-01-08;Centro-Oeste;Treinamento;Treinamento Power BI;4;4469.8
2026-08-25;Norte;Software;Modulo Fiscal;3;5486.03
2026-09-18;Nordeste;Licencas;Licenca Office;8;3144.68
2026-08-22;Centro-Oeste;Consultoria;Automacao de Processos;4;16788.96
2026-03-11;Nordeste;Treinamento;Treinamento Excel;7;1925.51
2026-05-17;Nordeste;Treinamento;Treinamento Excel;12;1764.37
2026-10-24;Norte;Treinamento;Treinamento Excel;3;2341.53
2026-06-26;Sudeste;Suporte;Suporte Basico;8;2258.99
2026-12-24;Sudeste;Consultoria;Automacao de Processos;4;15768.2
2026-01-23;Sudeste;Suporte;Suporte Basico;12;2218.2
2026-07-17;Norte;Suporte;Suporte Premium;8;2326.13
2026-09-15;Norte;Consultoria;Automacao de Processos;2;16049.95
2026-02-21;Sudeste;Suporte;Suporte Basico;1;1817.13
2026-12-02;Norte;Suporte;Suporte Premium;8;1941.2
2026-06-23;Centro-Oeste;Licencas;Licenca Office;11;624.88
2026-12-12;Nordeste;Licencas;Licenca Office;6;2155.04
2026-10-05;Sul;Suporte;Suporte Premium;4;1625.44
2026-04-27;Nordeste;Licencas;Licenca Office;2;2529.04
2026-08-16;Sul;Software;Conector API;1;1595.52
2026-05-31;Sudeste;Software;Conector API;3;3300.1
2026-10-17;Nordeste;Suporte;Suporte Premium;3;667.65
2026-07-15;Centro-Oeste;Treinamento;Treinamento Power BI;8;4160.03
2026-04-29;Sudeste;Consultoria;Automacao de Processos;8;6457.56
2026-08-27;Norte;Software;Modulo Fiscal;9;2558.59
2026-06-26;Norte;Suporte;Suporte Basico;11;2320.26
2026-08-22;Nordeste;Licencas;Licenca Anual ERP;7;2789.34
2026-05-02;Sudeste;Software;Conector API;10;3744.5
2026-01-12;Norte;Licencas;Licenca Office;5;422.67
2026-11-07;Nordeste;Software;Conector API;4;6420.76
2026-04-23;Centro-Oeste;Licencas;Licenca Office;11;2515.62
2026-11-18;Sul;Consultoria;Consultoria de Dados;5;14723.46
2026-10-24;Sudeste;Software;Plataforma BI Pro;2;9022.8
2026-08-01;Sul;Licencas;Licenca Anual ERP;9;2854.09
2026-09-29;Sudeste;Licencas;Licenca Office;3;1119.52
2026-06-01;Nordeste;Suporte;Suporte Basico;2;1283.5
2026-03-14;Nordeste;Software;Plataforma BI Pro;11;7428.26
2026-10-13;Sudeste;Suporte;Suporte Basico;1;855.36
2026-08-21;Sudeste;Software;Modulo Fiscal;11;3454.59
2026-11-23;Norte;Suporte;Suporte Premium;11;791.03
2026-11-14;Norte;Software;Modulo Fiscal;6;9071.2
2026-11-28;Sul;Consultoria;Automacao de Processos;12;7183.95
2026-03-01;Sul;Suporte;Suporte Premium;5;2391.45
2026-02-19;Sudeste;Software;Modulo Fiscal;3;4542.35
2026-12-10;Norte;Licencas;Licenca Office;10;2478.35
2026-08-01;Centro-Oeste;Consultoria;Automacao de Processos;10;8825.8
2026-01-17;Nordeste;Licencas;Licenca Anual ERP;8;1645.15
2026-07-05;Sul;Consultoria;Automacao de Processos;9;16476.29
2026-02-01;Sudeste;Licencas;Licenca Anual ERP;2;3057.23
2026-02-16;Centro-Oeste;Suporte;Suporte Premium;1;1952.27
2026-03-06;Nordeste;Consultoria;Consultoria de Dados;2;15362.18
2026-04-17;Centro-Oeste;Treinamento;Treinamento Power BI;6;3620.04
2026-01-02;Sudeste;Treinamento;Treinamento Power BI;3;2706.84
2026-02-26;Centro-Oeste;Consultoria;Consultoria de Dados;3;2730.34
2026-10-29;Sudeste;Consultoria;Consultoria de Dados;5;3312.18
2026-09-27;Sul;Suporte;Suporte Premium;8;1241.38
2026-09-20;Centro-Oeste;Licencas;Licenca Office;9;1020.34
2026-01-23;Nordeste;Treinamento;Treinamento Excel;8;3109.03
2026-02-01;Norte;Software;Conector API;7;7100.44
2026-12-31;Norte;Suporte;Suporte Premium;2;976.43
2026-02-03;Sul;Consultoria;Automacao de Processos;7;17916.73
2026-05-31;Sudeste;Treinamento;Treinamento Excel;2;3693.07
2026-12-02;Centro-Oeste;Software;Modulo Fiscal;12;8643.23
2026-08-20;Norte;Suporte;Suporte Basico;6;2037.58
2026-08-01;Nordeste;Suporte;Suporte Basico;7;956.3
2026-07-11;Norte;Licencas;Licenca Office;2;655.43
2026-02-17;Sudeste;Software;Modulo Fiscal;12;4404.76
2026-10-12;Sul;Consultoria;Automacao de Processos;11;4394.58
2026-12-07;Norte;Licencas;Licenca Office;12;544.05
2026-11-04;Sudeste;Licencas;Licenca Anual ERP;10;1820.76
2026-12-03;Sudeste;Consultoria;Consultoria de Dados;6;15603.29
2026-02-28;Nordeste;Licencas;Licenca Anual ERP;7;2766.43
2026-11-11;Centro-Oeste;Treinamento;Treinamento Power BI;10;4223.43
2026-01-15;Sul;Licencas;Licenca Office;6;1382.87
2026-03-15;Centro-Oeste;Consultoria;Automacao de Processos;2;4699.06
2026-02-16;Nordeste;Software;Plataforma BI Pro;7;4810.56
2026-03-22;Sudeste;Licencas;Licenca Office;10;2069.43
2026-03-21;Sul;Software;Modulo Fiscal;1;6996.13
2026-08-15;Centro-Oeste;Licencas;Licenca Office;10;1637.72
2026-04-21;Nordeste;Licencas;Licenca Anual ERP;6;1603.76
2026-12-14;Centro-Oeste;Licencas;Licenca Office;9;2267.97
2026-04-23;Sudeste;Software;Modulo Fiscal;1;1266.11
2026-04-19;Nordeste;Licencas;Licenca Office;5;1318.74
2026-09-12;Nordeste;Software;Plataforma BI Pro;3;4469.78
2026-09-14;Centro-Oeste;Consultoria;Automacao de Processos;2;8654.6
2026-08-12;Sul;Software;Plataforma BI Pro;6;6151.53
2026-07-27;Nordeste;Treinamento;Treinamento Excel;5;1049.18
2026-06-16;Sul;Software;Modulo Fiscal;8;8355.42
2026-02-15;Sudeste;Licencas;Licenca Anual ERP;4;1619.89
2026-09-26;Sul;Suporte;Suporte Basico;12;1012.98
2026-03-28;Sul;Licencas;Licenca Anual ERP;9;1827.87
2026-06-29;Nordeste;Licencas;Licenca Anual ERP;4;687.85
2026-04-12;Sul;Licencas;Licenca Anual ERP;11;610.99
2026-08-26;Nordeste;Suporte;Suporte Basico;11;2240.72
2026-11-26;Centro-Oeste;Treinamento;Treinamento Excel;11;1832.94
2026-02-04;Sudeste;Suporte;Suporte Basico;5;1541.98
2026-09-17;Sul;Licencas;Licenca Office;8;505.3
2026-05-27;Sul;Licencas;Licenca Anual ERP;10;2063.42
2026-08-25;Centro-Oeste;Suporte;Suporte Premium;8;2209.0
2026-11-30;Sul;Treinamento;Treinamento Excel;9;1188.36
2026-08-19;Sul;Software;Conector API;12;1925.23
2026-01-21;Sudeste;Consultoria;Automacao de Processos;8;10623.06
2026-03-23;Sudeste;Treinamento;Treinamento Excel;7;2194.2
2026-12-14;Centro-Oeste;Licencas;Licenca Office;2;1323.13
2026-12-14;Sudeste;Treinamento;Treinamento Excel;12;3921.11
2026-03-18;Sudeste;Treinamento;Treinamento Power BI;6;1809.9
2026-03-08;Centro-Oeste;Suporte;Suporte Premium;5;1473.74
2026-03-07;Centro-Oeste;Licencas;Licenca Anual ERP;11;2277.28
2026-07-05;Sul;Treinamento;Treinamento Excel;3;4309.56
2026-09-06;Sul;Licencas;Licenca Anual ERP;3;616.06
2026-09-17;Nordeste;Software;Modulo Fiscal;9;1524.63
2026-11-13;Sul;Licencas;Licenca Office;3;854.29
2026-03-26;Nordeste;Treinamento;Treinamento Power BI;7;2020.77
2026-08-16;Centro-Oeste;Consultoria;Automacao de Processos;4;10777.17
2026-08-29;Norte;Licencas;Licenca Anual ERP;6;2299.26
2026-08-14;Sudeste;Treinamento;Treinamento Excel;7;2561.34
2026-03-24;Nordeste;Suporte;Suporte Premium;5;409.58
2026-07-10;Centro-Oeste;Suporte;Suporte Premium;12;2076.37
2026-05-26;Sul;Software;Plataforma BI Pro;5;5064.15
2026-03-17;Nordeste;Treinamento;Treinamento Power BI;4;3785.14
2026-01-14;Sudeste;Licencas;Licenca Office;9;1447.09
2026-02-11;Sudeste;Suporte;Suporte Premium;6;2254.73
2026-03-16;Sul;Licencas;Licenca Office;8;2349.0
2026-12-28;Sudeste;Consultoria;Consultoria de Dados;2;2794.56
2026-03-18;Centro-Oeste;Consultoria;Automacao de Processos;2;14530.68
2026-06-04;Sul;Consultoria;Consultoria de Dados;7;12403.75
2026-08-23;Sul;Treinamento;Treinamento Excel;10;2690.61
2026-10-22;Sudeste;Treinamento;Treinamento Power BI;5;2274.03
2026-06-30;Sudeste;Treinamento;Treinamento Excel;3;3191.05
2026-09-26;Norte;Software;Plataforma BI Pro;9;5879.1
2026-10-11;Sul;Treinamento;Treinamento Excel;1;3079.12
2026-05-10;Nordeste;Licencas;Licenca Office;2;1365.45
2026-10-25;Nordeste;Software;Conector API;3;1581.29
2026-06-23;Nordeste;Treinamento;Treinamento Power BI;11;2412.03
2026-11-20;Sul;Suporte;Suporte Premium;2;1803.69
2026-01-19;Sudeste;Suporte;Suporte Premium;4;2160.16
2026-06-08;Sudeste;Licencas;Licenca Office;5;502.54
2026-05-27;Sudeste;Consultoria;Consultoria de Dados;11;7644.83
2026-07-08;Sudeste;Software;Conector API;12;4981.74
2026-06-23;Norte;Suporte;Suporte Basico;12;1344.8
2026-05-17;Nordeste;Treinamento;Treinamento Excel;2;2279.37
2026-10-07;Sudeste;Consultoria;Consultoria de Dados;2;7582.76
2026-06-06;Sudeste;Licencas;Licenca Office;3;2331.34
2026-08-17;Sul;Licencas;Licenca Office;10;3194.82
2026-11-24;Norte;Licencas;Licenca Anual ERP;2;2279.31
2026-07-06;Sudeste;Suporte;Suporte Premium;1;599.84
2026-12-14;Nordeste;Treinamento;Treinamento Power BI;3;862.21
2026-07-05;Sudeste;Licencas;Licenca Anual ERP;10;829.63
2026-07-09;Sudeste;Suporte;Suporte Premium;10;589.16
2026-07-23;Sudeste;Licencas;Licenca Office;4;3089.46
2026-04-06;Sudeste;Software;Conector API;9;2212.74
2026-12-27;Sudeste;Licencas;Licenca Office;12;2966.14
2026-04-13;Sul;Suporte;Suporte Premium;8;662.58
2026-02-14;Nordeste;Suporte;Suporte Basico;11;1029.59
2026-10-09;Centro-Oeste;Software;Conector API;3;7321.56
2026-07-05;Sudeste;Consultoria;Consultoria de Dados;4;14777.02
2026-09-10;Sul;Consultoria;Automacao de Processos;8;14956.76
2026-03-08;Centro-Oeste;Treinamento;Treinamento Power BI;2;1806.23
2026-09-27;Sudeste;Suporte;Suporte Basico;10;454.88
2026-11-25;Sul;Licencas;Licenca Office;11;1848.61
2026-10-10;Centro-Oeste;Consultoria;Consultoria de Dados;3;9205.58
2026-03-05;Sudeste;Software;Conector API;3;2592.92
2026-06-27;Norte;Consultoria;Automacao de Processos;2;6384.38
2026-05-21;Sul;Treinamento;Treinamento Excel;10;2680.56
2026-11-25;Sul;Treinamento;Treinamento Power BI;3;3169.06
2026-06-22;Nordeste;Treinamento;Treinamento Power BI;1;916.77
2026-05-16;Centro-Oeste;Treinamento;Treinamento Excel;10;3092.07
2026-11-18;Centro-Oeste;Suporte;Suporte Basico;8;814.24
2026-06-02;Sudeste;Suporte;Suporte Premium;3;1223.17
2026-08-26;Sudeste;Suporte;Suporte Premium;6;2109.12
2026-06-26;Norte;Licencas;Licenca Anual ERP;6;1841.94
2026-06-13;Sudeste;Software;Plataforma BI Pro;5;5066.53
2026-02-19;Sul;Consultoria;Automacao de Processos;10;8981.09
2026-06-17;Norte;Consultoria;Automacao de Processos;4;14328.38
2026-09-21;Sudeste;Suporte;Suporte Basico;8;348.67
2026-09-16;Sudeste;Suporte;Suporte Premium;4;1525.02
2026-01-26;Sudeste;Software;Modulo Fiscal;11;6983.68
2026-10-02;Sul;Licencas;Licenca Anual ERP;7;775.02
2026-07-07;Nordeste;Licencas;Licenca Office;1;1521.63
2026-10-15;Sul;Treinamento;Treinamento Excel;2;2106.76
2026-10-09;Sudeste;Suporte;Suporte Premium;3;2347.67
2026-07-11;Nordeste;Suporte;Suporte Basico;9;2271.79
2026-04-12;Centro-Oeste;Consultoria;Automacao de Processos;9;3123.95
2026-03-12;Nordeste;Software;Conector API;9;5130.1
2026-09-21;Sul;Treinamento;Treinamento Excel;3;2132.52
2026-06-03;Centro-Oeste;Treinamento;Treinamento Excel;12;2795.4
2026-01-09;Sudeste;Suporte;Suporte Premium;7;1525.77
2026-11-02;Sudeste;Software;Modulo Fiscal;10;6167.66
2026-10-26;Sudeste;Software;Modulo Fiscal;11;7402.17
2026-03-17;Nordeste;Suporte;Suporte Premium;1;1502.4
2026-04-08;Sul;Software;Conector API;7;2502.31
2026-07-30;Sudeste;Consultoria;Automacao de Processos;12;13774.73
2026-09-23;Sudeste;Consultoria;Automacao de Processos;11;9914.75
2026-06-10;Norte;Suporte;Suporte Basico;9;1018.89
2026-12-13;Nordeste;Licencas;Licenca Office;10;1755.7
2026-05-23;Centro-Oeste;Consultoria;Consultoria de Dados;5;14453.2
2026-12-20;Nordeste;Consultoria;Automacao de Processos;8;7906.45
2026-05-28;Sul;Licencas;Licenca Office;7;2691.46
2026-05-29;Sul;Consultoria;Consultoria de Dados;6;16822.15
2026-09-03;Sudeste;Licencas;Licenca Office;9;2349.28
2026-02-25;Centro-Oeste;Consultoria;Consultoria de Dados;4;3286.86
2026-04-26;Centro-Oeste;Treinamento;Treinamento Power BI;2;2211.88
2026-02-21;Nordeste;Suporte;Suporte Premium;1;2325.49
2026-07-28;Centro-Oeste;Consultoria;Automacao de Processos;8;12583.35
2026-06-14;Sudeste;Licencas;Licenca Anual ERP;2;2226.44
2026-10-01;Nordeste;Consultoria;Consultoria de Dados;3;8977.22
2026-01-19;Norte;Consultoria;Automacao de Processos;8;5387.83
2026-01-20;Sul;Licencas;Licenca Anual ERP;6;1196.77
2026-09-26;Sudeste;Treinamento;Treinamento Power BI;9;2425.28
2026-02-27;Sudeste;Consultoria;Automacao de Processos;11;6487.61
2026-01-08;Nordeste;Consultoria;Automacao de Processos;10;12953.22
2026-03-31;Centro-Oeste;Consultoria;Automacao de Processos;7;10486.85
2026-07-25;Centro-Oeste;Software;Plataforma BI Pro;3;5306.11
2026-01-04;Sudeste;Consultoria;Consultoria de Dados;8;14183.23
2026-06-04;Centro-Oeste;Licencas;Licenca Anual ERP;5;2230.31
2026-02-01;Centro-Oeste;Consultoria;Automacao de Processos;5;4975.61
2026-12-27;Nordeste;Treinamento;Treinamento Power BI;11;4172.91
2026-07-08;Centro-Oeste;Licencas;Licenca Anual ERP;3;1738.91
2026-11-07;Sudeste;Suporte;Suporte Basico;9;1984.19
2026-05-07;Nordeste;Consultoria;Consultoria de Dados;9;9424.59
2026-02-09;Norte;Licencas;Licenca Anual ERP;1;2720.57
2026-04-14;Centro-Oeste;Treinamento;Treinamento Power BI;3;1879.66
2026-08-15;Sul;Treinamento;Treinamento Power BI;12;2874.28
2026-09-19;Sudeste;Software;Plataforma BI Pro;8;2334.72
2026-08-22;Centro-Oeste;Suporte;Suporte Basico;11;1994.52
2026-07-22;Sudeste;Software;Plataforma BI Pro;12;3073.95
2026-01-24;Sudeste;Software;Modulo Fiscal;2;5854.01
2026-02-05;Norte;Software;Conector API;1;3668.98
2026-03-11;Nordeste;Consultoria;Automacao de Processos;6;17889.28
2026-08-18;Nordeste;Suporte;Suporte Basico;7;468.52
2026-03-10;Centro-Oeste;Treinamento;Treinamento Excel;2;1296.05
2026-07-21;Sudeste;Treinamento;Treinamento Power BI;1;3549.1
2026-08-26;Centro-Oeste;Licencas;Licenca Office;9;1461.97
2026-05-07;Sudeste;Consultoria;Consultoria de Dados;5;5421.45
2026-01-17;Nordeste;Software;Conector API;10;7788.06
2026-05-04;Sudeste;Software;Plataforma BI Pro;10;1488.76
2026-12-11;Nordeste;Treinamento;Treinamento Power BI;4;3488.11
2026-08-13;Sudeste;Suporte;Suporte Premium;1;594.28
2026-04-30;Nordeste;Licencas;Licenca Office;10;2074.17
2026-05-02;Sudeste;Licencas;Licenca Anual ERP;11;1859.5
2026-06-03;Sudeste;Suporte;Suporte Premium;11;1725.38
2026-09-11;Sul;Treinamento;Treinamento Excel;11;3218.24
2026-06-13;Nordeste;Treinamento;Treinamento Excel;3;1769.57
2026-10-03;Sudeste;Consultoria;Consultoria de Dados;5;15791.89
2026-08-26;Norte;Consultoria;Automacao de Processos;7;11137.94
2026-07-18;Sudeste;Consultoria;Consultoria de Dados;6;12523.94
2026-07-09;Sul;Suporte;Suporte Premium;1;863.77
2026-11-05;Sul;Treinamento;Treinamento Power BI;4;3738.14
2026-12-10;Centro-Oeste;Treinamento;Treinamento Excel;4;3990.95
2026-06-05;Norte;Licencas;Licenca Anual ERP;4;3024.05
2026-09-03;Norte;Software;Modulo Fiscal;10;7252.41
2026-05-03;Centro-Oeste;Suporte;Suporte Basico;7;1279.13
2026-06-07;Sudeste;Licencas;Licenca Office;8;676.1
2026-06-13;Norte;Suporte;Suporte Basico;6;1169.25
2026-04-24;Nordeste;Treinamento;Treinamento Power BI;5;2757.92
2026-10-24;Nordeste;Treinamento;Treinamento Excel;3;1365.15
2026-07-14;Centro-Oeste;Consultoria;Consultoria de Dados;8;11034.96
2026-05-12;Nordeste;Licencas;Licenca Office;12;2196.74
2026-08-24;Sul;Suporte;Suporte Basico;3;593.91
2026-09-08;Sul;Treinamento;Treinamento Power BI;9;731.91
2026-12-09;Sul;Software;Plataforma BI Pro;7;2382.43
2026-02-04;Nordeste;Consultoria;Consultoria de Dados;4;10338.86
2026-01-31;Centro-Oeste;Licencas;Licenca Office;11;1765.99
2026-09-30;Centro-Oeste;Software;Plataforma BI Pro;1;5752.99
